Detector, Descriptor, Lidar TTC, Camera TTC, Error
SHITOMASI,BRISK
SHITOMASI, BRISK, 12.5156, 13.9352, 0.113428
SHITOMASI, BRISK, 12.6142, 12.9876, 0.0295984
SHITOMASI, BRISK, 14.091, 13.2474, 0.0598656
SHITOMASI, BRISK, 16.6894, 12.8899, 0.227658
SHITOMASI, BRISK, 15.9082, 13.5421, 0.148735
SHITOMASI, BRISK, 12.6787, 13.7533, 0.0847566
SHITOMASI, BRISK, 11.9844, 12.7172, 0.0611511
SHITOMASI, BRISK, 13.1241, 13.7279, 0.0460044
SHITOMASI, BRISK, 13.0241, 11.5126, 0.116054
SHITOMASI, BRISK, 11.1746, 13.456, 0.204158
SHITOMASI, BRISK, 12.8086, 11.7992, 0.0788041
SHITOMASI, BRISK, 8.95978, 11.862, 0.323918
SHITOMASI, BRISK, 9.96439, 12.0367, 0.207971
SHITOMASI, BRISK, 9.59863, 11.4484, 0.192708
SHITOMASI, BRISK, 8.57352, 9.07784, 0.058823
SHITOMASI, BRISK, 9.51617, 10.5687, 0.110605
SHITOMASI, BRISK, 9.54658, 11.6823, 0.223718
SHITOMASI, BRISK, 8.3988, 9.73863, 0.159526
SHITOMASI,ORB
SHITOMASI, ORB, 12.5156, 14.2952, 0.14219
SHITOMASI, ORB, 12.6142, 12.4249, 0.0150089
SHITOMASI, ORB, 14.091, 12.4381, 0.117303
SHITOMASI, ORB, 16.6894, 12.6742, 0.240582
SHITOMASI, ORB, 15.9082, 12.1368, 0.237075
SHITOMASI, ORB, 12.6787, 14.1323, 0.114645
SHITOMASI, ORB, 11.9844, 11.635, 0.0291547
SHITOMASI, ORB, 13.1241, 12.3913, 0.0558412
SHITOMASI, ORB, 13.0241, 11.3273, 0.130285
SHITOMASI, ORB, 11.1746, 13.6447, 0.221037
SHITOMASI, ORB, 12.8086, 11.2431, 0.122219
SHITOMASI, ORB, 8.95978, 11.4151, 0.274032
SHITOMASI, ORB, 9.96439, 12.3202, 0.236427
SHITOMASI, ORB, 9.59863, 11.5476, 0.203047
SHITOMASI, ORB, 8.57352, 10.4388, 0.217564
SHITOMASI, ORB, 9.51617, 11.5174, 0.210294
SHITOMASI, ORB, 9.54658, 9.29375, 0.0264835
SHITOMASI, ORB, 8.3988, 7.60063, 0.0950347
SHITOMASI,FREAK
SHITOMASI, FREAK, 12.5156, 13.6733, 0.0924974
SHITOMASI, FREAK, 12.6142, 13.9717, 0.107612
SHITOMASI, FREAK, 14.091, 11.4665, 0.186256
SHITOMASI, FREAK, 16.6894, 13.0755, 0.216537
SHITOMASI, FREAK, 15.9082, 12.6318, 0.205956
SHITOMASI, FREAK, 12.6787, 15.1537, 0.195205
SHITOMASI, FREAK, 11.9844, 13.7847, 0.150224
SHITOMASI, FREAK, 13.1241, 12.9348, 0.0144231
SHITOMASI, FREAK, 13.0241, 12.3278, 0.0534618
SHITOMASI, FREAK, 11.1746, 13.4036, 0.199464
SHITOMASI, FREAK, 12.8086, 11.3274, 0.115645
SHITOMASI, FREAK, 8.95978, 12.2727, 0.369757
SHITOMASI, FREAK, 9.96439, 12.6681, 0.271334
SHITOMASI, FREAK, 9.59863, 11.5384, 0.202089
SHITOMASI, FREAK, 8.57352, 10.2608, 0.196802
SHITOMASI, FREAK, 9.51617, 11.3153, 0.18906
SHITOMASI, FREAK, 9.54658, 10.9094, 0.142755
SHITOMASI, FREAK, 8.3988, 8.08727, 0.0370929
HARRIS,BRISK
HARRIS, BRISK, 12.5156, 12.3773, 0.0110531
HARRIS, BRISK, 12.6142, 11.845, 0.0609783
HARRIS, BRISK, 14.091, 14.0677, 0.00165378
HARRIS, BRISK, 16.6894, 14.923, 0.105841
HARRIS, BRISK, 15.9082, 13.0322, 0.180789
HARRIS, BRISK, 12.6787, 12.8038, 0.00986764
HARRIS, BRISK, 11.9844, 13.1513, 0.0973706
HARRIS, BRISK, 13.1241, 32.9111, 1.50768
HARRIS, BRISK, 13.0241, 12.6573, 0.0281641
HARRIS, BRISK, 11.1746, 13.0711, 0.169713
HARRIS, BRISK, 12.8086, 12.6838, 0.00974063
HARRIS, BRISK, 8.95978, 13.3347, 0.488284
HARRIS, BRISK, 9.96439, 11.7152, 0.175704
